iter	Passed	Remaining
0	18	183687
1	26	132512
2	34	115577
3	42	106991
4	50	101936
5	59	98752
6	67	96149
7	75	94487
8	83	93195
9	92	92159
10	100	91309
11	108	90652
12	116	89620
13	124	89052
14	133	88680
15	142	88650
16	150	88260
17	158	88135
18	167	87825
19	175	87663
20	184	87514
21	192	87159
22	200	86904
23	208	86674
24	216	86462
25	225	86335
26	233	86168
27	241	85982
28	249	85821
29	257	85700
30	266	85592
31	274	85501
32	282	85371
33	290	85251
34	299	85209
35	307	85086
36	315	85034
37	323	84889
38	331	84792
39	340	84719
40	348	84761
41	357	84744
42	365	84722
43	374	84804
44	383	84820
45	391	84749
46	399	84664
47	407	84522
48	415	84434
49	424	84387
50	432	84327
51	440	84276
52	448	84149
53	456	84097
54	465	84084
55	473	84013
56	480	83894
57	488	83803
58	497	83801
59	505	83751
60	514	83750
61	522	83687
62	530	83652
63	538	83596
64	546	83552
65	554	83463
66	562	83414
67	570	83325
68	578	83302
69	586	83252
70	594	83176
71	602	83130
72	610	83045
73	618	82955
74	626	82920
75	634	82884
76	642	82817
77	650	82751
78	658	82699
79	666	82685
80	675	82679
81	683	82687
82	691	82677
83	700	82652
84	708	82600
85	716	82585
86	724	82548
87	732	82524
88	740	82490
89	748	82424
90	756	82411
91	765	82391
92	773	82392
93	781	82347
94	789	82347
95	798	82335
96	806	82318
97	814	82251
98	821	82194
99	829	82146
100	837	82121
101	845	82051
102	853	82023
103	861	81979
104	869	81962
105	877	81910
106	885	81897
107	893	81862
108	901	81777
109	909	81767
110	917	81753
111	925	81717
112	933	81683
113	941	81649
114	949	81605
115	957	81543
116	965	81526
117	973	81486
118	980	81416
119	988	81401
120	996	81382
121	1004	81334
122	1012	81322
123	1021	81327
124	1028	81281
125	1036	81262
126	1044	81211
127	1053	81214
128	1060	81176
129	1068	81128
130	1076	81085
131	1084	81049
132	1091	81011
133	1100	81003
134	1108	80978
135	1116	80954
136	1124	80940
137	1132	80903
138	1139	80866
139	1148	80859
140	1155	80822
141	1163	80781
142	1171	80730
143	1179	80703
144	1186	80647
145	1194	80652
146	1202	80613
147	1210	80591
148	1218	80572
149	1226	80519
150	1234	80503
151	1242	80469
152	1249	80437
153	1257	80389
154	1265	80348
155	1273	80330
156	1281	80335
157	1289	80303
158	1296	80254
159	1304	80244
160	1312	80225
161	1320	80191
162	1328	80191
163	1336	80166
164	1344	80131
165	1352	80099
166	1359	80052
167	1367	80034
168	1375	80005
169	1383	79975
170	1390	79949
171	1398	79924
172	1406	79909
173	1414	79881
174	1422	79853
175	1430	79832
176	1438	79825
177	1446	79794
178	1453	79753
179	1461	79721
180	1469	79700
181	1477	79706
182	1485	79694
183	1493	79657
184	1501	79657
185	1509	79632
186	1516	79601
187	1525	79596
188	1532	79557
189	1540	79536
190	1547	79495
191	1555	79477
192	1563	79461
193	1572	79464
194	1580	79454
195	1587	79425
196	1595	79416
197	1603	79404
198	1611	79385
199	1619	79368
200	1627	79345
201	1635	79336
202	1643	79309
203	1650	79263
204	1658	79239
205	1666	79226
206	1674	79212
207	1682	79191
208	1690	79180
209	1698	79159
210	1705	79131
211	1713	79116
212	1721	79080
213	1728	79047
214	1736	79016
215	1744	79016
216	1752	79001
217	1760	78990
